stdPYR
[0.00030284 0.00029058 0.00010083]
stdR
[[0.00029032 0.00030556 0.00010866]]
stdP
[[8.51467347e-05 1.46176544e-05 3.42067021e-05]]
meanPYR
[0.04824607 0.03955393 0.4098705 ]
numb. data points
182
Position
 [0.04858191 0.039598   0.40982228]
 [0.04825245 0.03948904 0.40979878]
 [0.04817995 0.03949517 0.40978056]
 [0.04842617 0.03975597 0.40979166]
 [0.04825021 0.03937145 0.40985579]
 [0.04799969 0.03955571 0.40986102]
 [0.04810622 0.03988839 0.4097817 ]
 [0.04828127 0.03971576 0.40980798]
 [0.04813012 0.03944673 0.40981409]
 [0.04840917 0.03967812 0.40977468]
 [0.0484832  0.03967874 0.40983554]
 [0.04839737 0.04002601 0.40972017]
 [0.0480202  0.03952008 0.40975794]
 [0.04838535 0.03957521 0.40985812]
 [0.04860522 0.03974338 0.40979409]
 [0.04868565 0.03950878 0.40981815]
 [0.04801644 0.03946934 0.40980418]
 [0.04805585 0.04025786 0.40974116]
 [0.0483725  0.03978609 0.40978881]
 [0.04873861 0.03962297 0.40976734]
 [0.04864106 0.03960497 0.4097765 ]
 [0.04812083 0.03976786 0.40982648]
 [0.04789418 0.03984331 0.40975656]
 [0.04803536 0.03937842 0.40984517]
 [0.04923432 0.039446   0.40987776]
 [0.04775086 0.03999077 0.40982006]
 [0.04836189 0.03955045 0.40976329]
 [0.04808119 0.0396442  0.40982136]
 [0.04842997 0.04002098 0.40976385]
 [0.04804266 0.03935171 0.40983003]
 [0.04799054 0.03960731 0.40984158]
 [0.04858633 0.03991195 0.40976696]
 [0.04877011 0.03929238 0.40985855]
 [0.0483705  0.03961305 0.40986294]
 [0.04868154 0.0396714  0.4097811 ]
 [0.04807077 0.03992021 0.40976197]
 [0.04864692 0.03975813 0.40978912]
 [0.04828024 0.0398445  0.40982971]
 [0.04920838 0.03971687 0.40988337]
 [0.04850649 0.03970728 0.40982944]
 [0.04886196 0.03995045 0.40980422]
 [0.04808371 0.0396161  0.40982502]
 [0.04848    0.03993177 0.40980216]
 [0.04860818 0.03992875 0.40973669]
 [0.04788088 0.03989392 0.40969291]
 [0.04844199 0.03977931 0.40979755]
 [0.04855009 0.0399054  0.40975573]
 [0.0489423  0.03945251 0.40983263]
 [0.04865613 0.04013841 0.40972911]
 [0.04798387 0.0396344  0.40978502]
 [0.04808347 0.03961583 0.40981315]
 [0.04817906 0.04004271 0.40971594]
 [0.04789569 0.03989722 0.40978206]
 [0.04818156 0.03964377 0.40982329]
 [0.04869219 0.0399702  0.40976938]
