stdPYR
[0.00032615 0.00038471 0.00012021]
stdR
[[0.00060931 0.00048844 0.00018548]]
stdP
[[1.71951398e-04 6.25611827e-05 7.97441992e-05]]
meanPYR
[-0.60907313 -0.05860578 -3.13679976]
numb. data points
204
Position
[[-0.60979291 -0.05788184 -3.1370429 ]
 [-0.60938335 -0.05827451 -3.13676059]
 [-0.61002402 -0.05840339 -3.13677315]
 [-0.60919823 -0.05859647 -3.13679474]
 [-0.60938257 -0.05827528 -3.13693631]
 [-0.60920498 -0.05848877 -3.1367941 ]
 [-0.60960517 -0.05842613 -3.13679216]
 [-0.60944384 -0.05836197 -3.1367777 ]
 [-0.6091848  -0.05871637 -3.13667716]
 [-0.60927094 -0.05819519 -3.13708722]
 [-0.60888128 -0.05887696 -3.13684593]
 [-0.60954614 -0.05824735 -3.13689283]
 [-0.61001417 -0.05823495 -3.1369521 ]
 [-0.60941141 -0.05874616 -3.13679258]
 [-0.60937476 -0.05878323 -3.13683546]
 [-0.60964553 -0.0579076  -3.13699926]
 [-0.60920493 -0.05796524 -3.13708615]
 [-0.6091928  -0.05862792 -3.13695127]
 [-0.60893654 -0.05855023 -3.13683546]
 [-0.60913879 -0.05831327 -3.13682855]
 [-0.60953046 -0.05832348 -3.13684769]
 [-0.60858734 -0.0590086  -3.13682215]
 [-0.60891413 -0.05868287 -3.13690593]
 [-0.60926231 -0.05865938 -3.1368006 ]
 [-0.6095662  -0.05804793 -3.13707144]
 [-0.60947547 -0.05892161 -3.13680888]
 [-0.60889549 -0.05899646 -3.13690851]
 [-0.60942136 -0.05862556 -3.13687108]
 [-0.60933101 -0.05895622 -3.13671891]
 [-0.6088932  -0.05890894 -3.13690386]
 [-0.60965523 -0.05888797 -3.13676621]
 [-0.60890542 -0.0595964  -3.13659384]
 [-0.6086011  -0.05876449 -3.13700078]
 [-0.60877595 -0.05899754 -3.13695048]
 [-0.60918331 -0.05908602 -3.13671326]
 [-0.60871558 -0.05927247 -3.13676903]
 [-0.60887797 -0.05932214 -3.13668642]
 [-0.60916579 -0.05956627 -3.13658738]
 [-0.60832722 -0.05927853 -3.13669343]
 [-0.60902497 -0.05817475 -3.13709828]
 [-0.60950149 -0.05866073 -3.13681464]
 [-0.60859612 -0.05912802 -3.1366797 ]
 [-0.60891528 -0.05945278 -3.13662077]
 [-0.60905997 -0.0588667  -3.13676079]
 [-0.60896611 -0.05914872 -3.13678523]
 [-0.60895651 -0.05912225 -3.136647  ]
 [-0.60868272 -0.05895051 -3.1368707 ]
 [-0.60864392 -0.05918299 -3.13669528]
 [-0.60902542 -0.05926585 -3.13659137]
 [-0.60847893 -0.05892391 -3.13684777]
 [-0.60925168 -0.05891868 -3.13677028]
 [-0.60939402 -0.05880265 -3.13705996]
 [-0.60957208 -0.05958957 -3.13659374]
 [-0.60904323 -0.05889513 -3.1368123 ]
 [-0.60976652 -0.05871845 -3.13678684]
 [-0.60889199 -0.05859003 -3.136929  ]
 [-0.60904944 -0.05873917 -3.13691574]
 [-0.60939699 -0.05850666 -3.13686585]
 [-0.60914888 -0.05889223 -3.13694929]
 [-0.60888343 -0.05908339 -3.13679836]
 [-0.60908978 -0.05905322 -3.1367311 ]
 [-0.60901189 -0.05842197 -3.13690163]
 [-0.60943901 -0.05888329 -3.13688346]
 [-0.60899053 -0.05889537 -3.13672863]
 [-0.60942267 -0.05891592 -3.13672842]
 [-0.60914536 -0.05887798 -3.13674569]
 [-0.6090976  -0.05921895 -3.13660847]
 [-0.60931723 -0.05894158 -3.13656226]
 [-0.60929684 -0.0580976  -3.13704339]
 [-0.60872306 -0.05874794 -3.13679642]
 [-0.60870425 -0.05912122 -3.13679718]
 [-0.60897572 -0.05890899 -3.13669338]
 [-0.60900116 -0.05894082 -3.1368015 ]
 [-0.60898995 -0.05921697 -3.13676858]
 [-0.60896706 -0.05836141 -3.13696119]
 [-0.60901229 -0.05842888 -3.13677098]
 [-0.60911272 -0.05894185 -3.13687917]
 [-0.60906615 -0.05841054 -3.13690915]
 [-0.60965563 -0.05820047 -3.13690763]
 [-0.6093879  -0.05871951 -3.13684324]
 [-0.60897825 -0.05901412 -3.13663683]
 [-0.60929933 -0.05823169 -3.13699975]
 [-0.60909868 -0.05885035 -3.13691134]
 [-0.609116   -0.05866158 -3.13682361]
 [-0.60915637 -0.05865361 -3.13687836]
 [-0.60901431 -0.05876139 -3.13653383]
 [-0.60912348 -0.05892217 -3.13674161]
 [-0.60966544 -0.05850209 -3.13678844]
